,attacker_ip_enum,label
0,5,0
1,7,0
2,21,0
3,29,0
4,33,0
5,37,0
6,43,0
7,47,0
8,48,0
9,53,0
10,64,0
11,91,0
12,92,0
13,99,1
14,100,0
15,103,0
16,111,0
17,120,1
18,121,0
19,128,0
20,133,0
21,137,0
22,141,0
23,153,0
24,158,0
25,170,0
26,175,0
27,187,0
28,188,0
29,190,0
30,192,0
31,209,0
32,211,0
33,218,0
34,219,0
35,223,0
36,224,0
37,226,0
38,227,0
39,228,0
40,231,0
41,232,0
42,233,1
43,241,0
44,242,0
45,246,0
46,247,1
47,251,0
48,260,0
49,263,0
50,265,0
51,267,0
52,284,0
53,285,0
54,287,0
55,290,0
56,291,0
57,295,0
58,296,0
59,299,1
60,300,0
61,301,0
62,306,0
63,311,0
64,316,0
65,318,0
66,319,0
67,321,0
68,322,0
69,323,0
70,328,0
71,329,0
72,330,0
73,335,0
74,336,0
75,341,0
76,346,0
77,348,0
78,352,0
79,353,0
80,354,0
81,356,0
82,357,0
83,358,0
84,359,0
85,362,0
86,365,0
87,366,0
88,367,0
89,372,0
90,373,0
91,374,0
92,383,0
93,386,1
94,390,1
95,395,0
96,397,0
97,399,0
98,403,0
99,404,0
100,407,0
101,412,0
102,417,0
103,420,0
104,421,0
105,424,0
106,425,0
107,426,0
108,430,0
109,432,0
110,433,0
111,444,0
112,449,0
113,450,0
114,456,0
115,458,0
116,460,1
117,463,0
118,471,0
119,476,0
120,480,0
121,486,0
122,505,0
123,507,0
124,511,0
125,512,1
126,514,0
127,519,0
128,520,1
129,529,0
130,535,0
131,537,0
132,539,0
133,540,0
134,543,0
135,552,0
136,553,0
137,556,0
138,558,0
139,562,0
140,565,0
141,567,0
142,568,0
143,569,0
144,571,0
145,574,0
146,577,0
147,582,0
148,584,0
149,589,0
150,594,0
151,604,0
152,607,0
153,610,0
154,611,0
155,616,0
156,618,0
157,621,0
158,622,0
159,632,0
160,635,0
161,636,0
162,637,0
163,638,0
164,645,0
165,650,0
166,651,0
167,652,0
168,653,0
169,657,0
170,660,0
171,666,0
172,667,0
173,668,0
174,669,1
175,671,0
176,673,0
177,680,0
178,686,0
179,687,0
180,688,0
181,689,0
182,695,0
183,701,1
184,704,0
185,707,0
186,711,0
187,712,0
188,715,0
189,716,0
190,736,0
191,741,0
192,742,0
193,743,0
194,745,0
195,747,0
196,749,0
197,750,0
198,761,0
199,764,0
200,765,0
201,771,0
202,782,0
203,784,0
204,788,0
205,790,0
206,793,0
207,797,0
208,801,0
209,804,1
210,815,0
211,817,0
212,824,1
213,827,0
214,828,1
215,833,0
216,836,0
217,846,0
218,848,0
219,850,0
220,852,0
221,860,0
222,862,0
223,865,0
224,869,0
225,873,0
226,883,0
227,894,0
228,899,0
229,900,0
230,901,0
231,907,0
232,909,0
233,923,0
234,924,1
235,925,0
236,927,0
237,930,0
238,934,0
239,935,0
240,937,0
241,941,0
242,943,0
243,946,0
244,950,1
245,954,0
246,962,0
247,972,0
248,975,0
249,982,0
250,986,0
251,987,0
252,989,0
253,991,0
254,996,0
255,1001,0
256,1004,0
257,1005,0
258,1009,0
259,1013,0
260,1018,0
261,1019,0
262,1020,0
263,1021,0
264,1029,0
265,1032,0
266,1033,0
267,1034,0
268,1040,0
269,1041,0
270,1047,0
271,1049,0
272,1050,0
273,1051,0
274,1055,0
275,1059,0
276,1061,0
277,1062,0
278,1064,0
279,1065,0
280,1067,0
281,1073,0
282,1075,0
283,1079,0
284,1088,0
285,1091,0
286,1092,0
287,1093,0
288,1095,0
289,1099,0
290,1105,0
291,1108,0
292,1109,0
293,1112,0
294,1113,0
295,1119,0
296,1125,0
297,1127,0
298,1132,0
299,1134,0
300,1140,0
301,1145,0
302,1149,0
303,1151,0
304,1155,0
305,1157,0
306,1158,0
307,1159,0
308,1160,0
309,1163,0
310,1166,0
311,1168,0
312,1170,0
313,1176,0
314,1181,0
315,1185,0
316,1186,0
317,1204,0
318,1205,0
319,1206,0
320,1207,1
321,1212,1
322,1214,1
323,1215,0
324,1216,1
325,1222,0
326,1227,0
327,1229,0
328,1234,0
329,1239,0
330,1241,0
331,1242,0
332,1243,0
333,1246,0
334,1251,0
335,1260,0
336,1261,0
337,1263,0
338,1268,0
339,1270,0
340,1276,0
341,1277,1
342,1280,0
343,1299,0
344,1302,0
345,1303,0
346,1304,0
347,1306,0
348,1309,0
349,1310,0
350,1311,0
351,1323,0
352,1324,0
353,1326,0
354,1330,0
355,1333,0
356,1335,0
357,1348,0
358,1353,0
359,1358,0
360,1361,0
361,1363,0
362,1364,0
363,1366,0
364,1370,0
365,1371,0
366,1378,0
367,1379,0
368,1382,0
369,1383,0
370,1384,0
371,1385,0
372,1389,0
373,1393,0
374,1407,0
375,1409,0
376,1412,0
377,1415,0
378,1426,0
379,1438,0
380,1443,0
381,1446,0
382,1448,0
383,1449,0
384,1459,0
385,1471,0
386,1476,0
387,1485,0
388,1486,0
389,1488,0
390,1490,0
391,1491,0
392,1492,0
393,1493,0
394,1494,0
395,1496,0
396,1502,0
397,1504,0
398,1505,0
399,1517,1
400,1518,0
401,1524,0
402,1525,0
403,1527,0
404,1528,0
405,1534,0
406,1538,0
407,1539,0
408,1545,0
409,1547,0
410,1551,0
411,1554,0
412,1563,0
413,1567,0
414,1572,0
415,1575,1
416,1576,0
417,1580,0
418,1581,0
419,1582,0
420,1585,0
421,1602,0
422,1604,0
423,1605,0
424,1611,0
425,1612,0
426,1621,0
427,1634,0
428,1648,0
429,1649,0
430,1652,0
431,1653,0
432,1654,0
433,1656,0
434,1658,0
435,1661,0
436,1662,0
437,1663,0
438,1669,0
439,1671,0
440,1686,0
441,1689,0
442,1693,0
443,1707,0
444,1710,1
445,1713,0
446,1714,0
447,1715,0
448,1721,0
449,1724,0
450,1730,0
451,1738,0
452,1743,0
453,1752,0
454,1759,0
455,1769,0
456,1772,0
457,1775,0
458,1776,0
459,1781,0
460,1782,0
461,1783,0
462,1791,0
463,1792,0
464,1797,0
465,1803,0
466,1807,0
467,1809,0
468,1810,0
469,1819,0
470,1820,0
471,1822,1
472,1824,1
473,1827,1
474,1830,0
475,1833,0
476,1840,0
477,1845,0
478,1849,0
479,1851,0
480,1856,0
481,1857,0
482,1858,0
483,1862,0
484,1863,0
485,1864,0
486,1866,0
487,1868,0
488,1878,0
489,1880,0
490,1884,0
491,1886,0
492,1888,0
493,1892,0
494,1893,0
495,1894,0
496,1898,0
497,1903,0
498,1904,0
499,1905,0
500,1915,0
501,1933,0
502,1935,0
503,1939,0
504,1944,0
505,1947,0
506,1949,0
507,1951,0
508,1953,0
509,1962,0
510,1964,0
511,1965,0
512,1973,0
513,1976,0
514,1977,0
515,1978,1
516,1988,0
517,1991,0
518,1994,0
519,2000,0
520,2005,0
521,2010,1
522,2012,0
523,2018,0
524,2022,0
525,2024,0
526,2039,0
527,2040,0
528,2044,0
529,2047,0
530,2055,0
531,2056,0
532,2060,1
533,2062,0
534,2070,1
535,2083,1
536,2085,0
537,2094,0
538,2097,1
539,2101,0
540,2102,1
541,2103,0
542,2104,0
543,2106,0
544,2110,0
545,2118,0
546,2120,0
547,2124,1
548,2126,0
549,2128,0
550,2129,0
551,2132,0
552,2136,0
553,2139,0
554,2143,0
555,2144,0
556,2146,0
557,2147,0
558,2149,0
559,2152,0
560,2155,0
561,2157,0
562,2161,1
563,2179,0
564,2180,0
565,2183,0
566,2188,0
567,2196,0
568,2204,0
569,2206,0
570,2214,0
571,2215,0
572,2216,0
573,2220,0
574,2222,0
575,2227,1
576,2234,0
577,2236,0
578,2241,0
579,2244,0
580,2257,0
581,2262,0
582,2264,1
