attacker_ip_enum,label
5,0.0
7,0.0
21,0.0
29,0.0
33,0.0
37,0.0
43,0.0
47,0.0
48,0.0
53,0.0
64,0.0
91,0.0
92,0.0
99,1.0
100,0.0
103,0.0
111,0.0
120,1.0
121,0.0
128,0.0
133,0.0
137,0.0
141,0.0
153,0.0
158,0.0
170,0.0
175,0.0
187,0.0
188,0.0
190,0.0
192,0.0
209,0.0
211,0.0
218,0.0
219,0.0
223,0.0
224,0.0
226,0.0
227,0.0
228,0.0
231,0.0
232,0.0
233,0.0
241,0.0
242,0.0
246,0.0
247,0.0
251,0.0
260,0.0
263,0.0
265,0.0
267,0.0
284,0.0
285,0.0
287,0.0
290,0.0
291,0.0
295,0.0
296,0.0
299,1.0
300,0.0
301,0.0
306,0.0
311,0.0
316,0.0
318,0.0
319,0.0
321,0.0
322,0.0
323,0.0
328,0.0
329,0.0
330,0.0
335,0.0
336,0.0
341,0.0
346,0.0
348,0.0
352,0.0
353,0.0
354,0.0
356,0.0
357,0.0
358,0.0
359,0.0
362,0.0
365,0.0
366,0.0
367,0.0
372,0.0
373,0.0
374,0.0
383,0.0
386,1.0
390,1.0
395,0.0
397,0.0
399,0.0
403,0.0
404,0.0
407,0.0
412,0.0
417,0.0
420,0.0
421,0.0
424,0.0
425,0.0
426,0.0
430,0.0
432,0.0
433,0.0
444,0.0
449,0.0
450,0.0
456,0.0
458,0.0
460,0.0
463,0.0
471,0.0
476,0.0
480,0.0
486,0.0
505,0.0
507,0.0
511,0.0
512,0.0
514,0.0
519,0.0
520,0.0
529,0.0
535,0.0
537,0.0
539,0.0
540,0.0
543,0.0
552,0.0
553,0.0
556,0.0
558,0.0
562,0.0
565,0.0
567,0.0
568,0.0
569,0.0
571,0.0
574,0.0
577,0.0
582,0.0
584,0.0
589,0.0
594,0.0
604,0.0
607,0.0
610,0.0
611,0.0
616,0.0
618,0.0
621,0.0
622,0.0
632,0.0
635,0.0
636,0.0
637,0.0
638,0.0
645,0.0
650,0.0
651,0.0
652,0.0
